Equation,Answer
105 / 21 = ,5
30 - 47 = ,-17
20 + 40 = ,60
5 * 77 = ,385
92 * 28 = ,2576
91 + 76 = ,167
96 + 52 = ,148
69 * 57 = ,3933
26 + 70 = ,96
40 * 75 = ,3000
86 * 50 = ,4300
3135 / 57 = ,55
1275 / 25 = ,51
45 * 99 = ,4455
29 * 66 = ,1914
94 + 67 = ,161
49 + 6 = ,55
90 * 5 = ,450
3640 / 52 = ,70
21 + 72 = ,93
528 / 22 = ,24
68 + 32 = ,100
31 * 78 = ,2418
35 + 5 = ,40
51 * 4 = ,204
28 + 25 = ,53
7 - 91 = ,-84
44 - 45 = ,-1
195 / 5 = ,39
53 * 22 = ,1166
12 - 28 = ,-16
84 * 70 = ,5880
89 * 73 = ,6497
765 / 17 = ,45
56 * 98 = ,5488
57 + 59 = ,116
22 + 65 = ,87
90 + 4 = ,94
72 - 31 = ,41
49 - 99 = ,-50
507 / 39 = ,13
98 + 71 = ,169
40 + 91 = ,131
23 + 48 = ,71
40 + 85 = ,125
576 / 12 = ,48
19 - 27 = ,-8
71 * 78 = ,5538
67 * 49 = ,3283
26 + 19 = ,45
74 - 76 = ,-2
2244 / 33 = ,68
1218 / 21 = ,58
20 - 72 = ,-52
75 * 70 = ,5250
85 - 93 = ,-8
59 + 9 = ,68
35 - 17 = ,18
4116 / 84 = ,49
8 - 81 = ,-73
87 * 40 = ,3480
17 * 9 = ,153
90 + 66 = ,156
42 + 9 = ,51
36 / 3 = ,12
76 - 49 = ,27
5184 / 64 = ,81
5922 / 63 = ,94
22 - 89 = ,-67
48 - 30 = ,18
87 + 81 = ,168
1400 / 70 = ,20
2204 / 38 = ,58
186 / 6 = ,31
95 - 45 = ,50
69 - 24 = ,45
85 * 64 = ,5440
63 + 40 = ,103
1 * 70 = ,70
1 - 40 = ,-39
32 * 56 = ,1792
74 + 30 = ,104
35 * 44 = ,1540
83 + 79 = ,162
5 - 59 = ,-54
6 * 38 = ,228
6365 / 67 = ,95
23 - 4 = ,19
40 * 64 = ,2560
28 + 51 = ,79
2006 / 34 = ,59
27 * 23 = ,621
7735 / 85 = ,91
11 * 56 = ,616
51 + 100 = ,151
72 * 55 = ,3960
41 - 66 = ,-25
15 + 36 = ,51
15 - 84 = ,-69
4324 / 46 = ,94
97 - 21 = ,76
3827 / 89 = ,43
50 - 58 = ,-8
4 * 16 = ,64
97 + 59 = ,156
72 - 5 = ,67
14 - 40 = ,-26
66 * 92 = ,6072
13 - 43 = ,-30
24 - 10 = ,14
81 - 53 = ,28
2470 / 38 = ,65
770 / 10 = ,77
16 * 89 = ,1424
71 - 57 = ,14
66 + 88 = ,154
98 + 91 = ,189
38 + 93 = ,131
7623 / 77 = ,99
65 - 82 = ,-17
62 + 62 = ,124
89 + 63 = ,152
34 - 27 = ,7
3025 / 55 = ,55
1176 / 56 = ,21
10 - 82 = ,-72
44 - 10 = ,34
30 * 73 = ,2190
330 / 66 = ,5
37 + 41 = ,78
30 - 29 = ,1
49 + 27 = ,76
29 + 29 = ,58
39 * 37 = ,1443
2184 / 78 = ,28
100 + 45 = ,145
56 - 60 = ,-4
45 - 39 = ,6
64 + 4 = ,68
4489 / 67 = ,67
57 * 23 = ,1311
73 + 20 = ,93
68 + 66 = ,134
13 - 95 = ,-82
59 - 51 = ,8
49 - 50 = ,-1
145 / 29 = ,5
64 - 4 = ,60
71 - 51 = ,20
84 + 58 = ,142
45 * 70 = ,3150
2378 / 82 = ,29
10 + 28 = ,38
72 - 97 = ,-25
62 / 1 = ,62
78 - 19 = ,59
12 + 62 = ,74
2880 / 32 = ,90
128 / 4 = ,32
72 * 71 = ,5112
85 - 64 = ,21
98 + 33 = ,131
94 * 74 = ,6956
41 + 86 = ,127
97 * 53 = ,5141
58 - 29 = ,29
3496 / 76 = ,46
32 * 84 = ,2688
76 - 17 = ,59
17 + 88 = ,105
1326 / 51 = ,26
80 + 38 = ,118
49 + 100 = ,149
55 + 51 = ,106
58 - 30 = ,28
50 - 3 = ,47
1140 / 19 = ,60
100 + 10 = ,110
2016 / 72 = ,28
95 - 88 = ,7
1333 / 31 = ,43
29 + 28 = ,57
22 * 82 = ,1804
57 * 79 = ,4503
1056 / 88 = ,12
59 + 36 = ,95
42 - 93 = ,-51
77 - 39 = ,38
45 + 68 = ,113
36 + 15 = ,51
3300 / 60 = ,55
43 * 16 = ,688
16 - 97 = ,-81
93 + 11 = ,104
41 + 14 = ,55
95 * 44 = ,4180
3360 / 56 = ,60
3366 / 99 = ,34
7209 / 81 = ,89
14 - 9 = ,5
82 + 65 = ,147
4 + 4 = ,8
6300 / 90 = ,70
2772 / 33 = ,84
38 - 28 = ,10
76 + 13 = ,89
63 + 92 = ,155
31 + 74 = ,105
7476 / 89 = ,84
69 * 78 = ,5382
10 - 18 = ,-8
1750 / 70 = ,25
75 + 100 = ,175
15 + 56 = ,71
100 + 30 = ,130
36 * 74 = ,2664
84 + 40 = ,124
44 * 44 = ,1936
75 * 31 = ,2325
1435 / 35 = ,41
37 * 70 = ,2590
6 - 54 = ,-48
70 - 94 = ,-24
76 - 19 = ,57
1539 / 57 = ,27
84 - 43 = ,41
36 * 96 = ,3456
96 * 77 = ,7392
57 + 42 = ,99
37 - 14 = ,23
11 + 98 = ,109
12 * 97 = ,1164
25 * 20 = ,500
896 / 32 = ,28
56 * 39 = ,2184
29 + 77 = ,106
45 * 92 = ,4140
59 + 50 = ,109
26 - 77 = ,-51
1136 / 16 = ,71
2820 / 60 = ,47
46 - 24 = ,22
100 + 35 = ,135
33 * 80 = ,2640
38 - 55 = ,-17
16 + 90 = ,106
1155 / 55 = ,21
50 * 38 = ,1900
2544 / 53 = ,48
83 + 62 = ,145
45 + 7 = ,52
2 - 3 = ,-1
19 - 87 = ,-68
38 * 84 = ,3192
58 - 8 = ,50
98 + 81 = ,179
13 + 11 = ,24
8 + 20 = ,28
12 + 18 = ,30
99 - 22 = ,77
4686 / 66 = ,71
17 - 26 = ,-9
20 + 40 = ,60
138 / 69 = ,2
15 + 32 = ,47
51 * 66 = ,3366
73 / 1 = ,73
4554 / 66 = ,69
3774 / 74 = ,51
249 / 83 = ,3
69 - 33 = ,36
81 / 9 = ,9
97 - 9 = ,88
21 + 29 = ,50
77 - 14 = ,63
4 + 33 = ,37
98 - 62 = ,36
74 - 38 = ,36
3540 / 59 = ,60
7 - 34 = ,-27
53 * 25 = ,1325
23 + 87 = ,110
60 - 79 = ,-19
90 * 83 = ,7470
96 - 76 = ,20
490 / 14 = ,35
47 + 35 = ,82
2370 / 79 = ,30
896 / 16 = ,56
16 + 29 = ,45
8 - 1 = ,7
95 * 28 = ,2660
40 * 38 = ,1520
5 + 67 = ,72
8832 / 96 = ,92
83 * 27 = ,2241
89 - 24 = ,65
86 - 97 = ,-11
86 + 49 = ,135
52 * 15 = ,780
33 + 99 = ,132
31 - 61 = ,-30
3337 / 71 = ,47
43 * 74 = ,3182
2808 / 39 = ,72
16 * 92 = ,1472
744 / 31 = ,24
63 - 86 = ,-23
61 - 52 = ,9
3 - 40 = ,-37
52 - 81 = ,-29
96 * 53 = ,5088
47 + 50 = ,97
49 - 71 = ,-22
87 + 6 = ,93
79 - 26 = ,53
58 + 41 = ,99
24 + 91 = ,115
57 - 51 = ,6
8 + 88 = ,96
98 * 4 = ,392
1925 / 55 = ,35
208 / 13 = ,16
41 - 93 = ,-52
9 - 49 = ,-40
50 - 4 = ,46
97 * 19 = ,1843
30 - 86 = ,-56
49 * 20 = ,980
75 / 25 = ,3
520 / 13 = ,40
295 / 59 = ,5
21 + 31 = ,52
6 * 57 = ,342
36 + 88 = ,124
17 * 21 = ,357
46 + 44 = ,90
30 - 99 = ,-69
2208 / 48 = ,46
4560 / 80 = ,57
13 + 49 = ,62
3 - 63 = ,-60
93 + 60 = ,153
70 - 51 = ,19
559 / 43 = ,13
8 - 54 = ,-46
14 + 10 = ,24
1206 / 67 = ,18
19 * 54 = ,1026
41 + 87 = ,128
66 * 61 = ,4026
74 + 32 = ,106
30 + 67 = ,97
4 * 99 = ,396
819 / 91 = ,9
22 * 88 = ,1936
12 - 23 = ,-11
9 + 96 = ,105
51 - 25 = ,26
2256 / 94 = ,24
53 * 10 = ,530
94 + 9 = ,103
90 + 22 = ,112
61 - 20 = ,41
57 - 89 = ,-32
4402 / 71 = ,62
62 + 69 = ,131
80 - 87 = ,-7
4 * 62 = ,248
25 * 33 = ,825
64 - 71 = ,-7
6348 / 92 = ,69
90 - 49 = ,41
71 - 79 = ,-8
16 * 16 = ,256
2079 / 21 = ,99
39 * 83 = ,3237
4740 / 79 = ,60
62 - 87 = ,-25
23 + 94 = ,117
4144 / 56 = ,74
69 - 35 = ,34
100 / 1 = ,100
34 * 49 = ,1666
6000 / 100 = ,60
87 * 69 = ,6003
76 + 59 = ,135
6 - 52 = ,-46
82 - 68 = ,14
387 / 43 = ,9
16 + 1 = ,17
897 / 39 = ,23
27 * 48 = ,1296
7 * 19 = ,133
83 * 5 = ,415
480 / 30 = ,16
30 - 53 = ,-23
85 * 59 = ,5015
10 - 19 = ,-9
86 - 58 = ,28
4 - 42 = ,-38
1173 / 17 = ,69
3600 / 80 = ,45
6700 / 100 = ,67
46 * 16 = ,736
90 * 9 = ,810
3198 / 39 = ,82
99 * 67 = ,6633
94 * 46 = ,4324
75 * 43 = ,3225
36 + 16 = ,52
81 - 56 = ,25
4740 / 79 = ,60
56 + 83 = ,139
66 - 16 = ,50
10 + 53 = ,63
50 - 45 = ,5
3402 / 42 = ,81
2016 / 32 = ,63
96 - 27 = ,69
38 + 99 = ,137
63 + 82 = ,145
25 + 46 = ,71
56 + 14 = ,70
20 + 94 = ,114
68 - 74 = ,-6
891 / 99 = ,9
1848 / 21 = ,88
84 + 1 = ,85
82 + 50 = ,132
52 - 36 = ,16
53 - 44 = ,9
96 - 54 = ,42
66 + 47 = ,113
51 - 47 = ,4
89 + 48 = ,137
2 - 89 = ,-87
69 + 54 = ,123
30 - 7 = ,23
44 - 3 = ,41
18 - 79 = ,-61
98 + 49 = ,147
89 * 10 = ,890
4898 / 79 = ,62
98 * 58 = ,5684
12 + 63 = ,75
95 - 11 = ,84
99 + 56 = ,155
11 + 51 = ,62
351 / 27 = ,13
304 / 19 = ,16
73 - 90 = ,-17
34 + 19 = ,53
84 * 11 = ,924
33 + 41 = ,74
14 + 49 = ,63
49 - 44 = ,5
35 + 72 = ,107
88 - 31 = ,57
68 * 19 = ,1292
11 + 98 = ,109
96 * 29 = ,2784
76 - 36 = ,40
16 * 42 = ,672
84 - 78 = ,6
46 * 4 = ,184
14 - 93 = ,-79
15 * 1 = ,15
27 + 88 = ,115
21 + 30 = ,51
888 / 12 = ,74
51 - 80 = ,-29
50 / 50 = ,1
70 * 39 = ,2730
4 * 72 = ,288
55 - 27 = ,28
4371 / 47 = ,93
64 + 39 = ,103
513 / 19 = ,27
78 + 74 = ,152
72 * 21 = ,1512
18 - 20 = ,-2
8 + 49 = ,57
92 - 99 = ,-7
46 * 53 = ,2438
13 + 80 = ,93
78 + 83 = ,161
3080 / 40 = ,77
28 - 93 = ,-65
15 - 61 = ,-46
16 - 25 = ,-9
73 + 46 = ,119
99 - 26 = ,73
51 / 51 = ,1
280 / 70 = ,4
45 + 65 = ,110
4732 / 91 = ,52
41 + 21 = ,62
5 + 90 = ,95
87 + 28 = ,115
96 * 30 = ,2880
13 * 74 = ,962
53 - 89 = ,-36
52 * 7 = ,364
89 * 47 = ,4183
27 - 87 = ,-60
45 - 100 = ,-55
4 + 39 = ,43
23 * 95 = ,2185
94 + 52 = ,146
22 + 37 = ,59
42 - 68 = ,-26
15 - 65 = ,-50
37 + 29 = ,66
31 - 94 = ,-63
90 - 69 = ,21
2842 / 29 = ,98
11 * 62 = ,682
17 - 55 = ,-38
627 / 33 = ,19
58 / 58 = ,1
51 + 82 = ,133
55 - 25 = ,30
11 + 78 = ,89
31 + 84 = ,115
27 - 50 = ,-23
8 * 7 = ,56
5280 / 66 = ,80
73 - 53 = ,20
324 / 54 = ,6
13 + 61 = ,74
95 - 56 = ,39
7 - 59 = ,-52
10 - 99 = ,-89
86 * 16 = ,1376
60 - 38 = ,22
3698 / 43 = ,86
10 - 80 = ,-70
83 - 25 = ,58
46 - 74 = ,-28
40 * 76 = ,3040
65 + 77 = ,142
85 - 39 = ,46
45 + 31 = ,76
56 * 69 = ,3864
25 * 85 = ,2125
2263 / 31 = ,73
33 + 23 = ,56
4941 / 81 = ,61
85 * 69 = ,5865
44 + 73 = ,117
80 + 80 = ,160
75 + 11 = ,86
7 * 29 = ,203
5700 / 75 = ,76
15 + 12 = ,27
3525 / 75 = ,47
3360 / 70 = ,48
90 + 67 = ,157
69 - 67 = ,2
78 + 87 = ,165
96 - 60 = ,36
7347 / 93 = ,79
90 * 91 = ,8190
6461 / 91 = ,71
53 * 36 = ,1908
1071 / 63 = ,17
25 - 29 = ,-4
44 + 42 = ,86
93 - 76 = ,17
64 - 29 = ,35
1230 / 82 = ,15
50 * 33 = ,1650
49 - 38 = ,11
64 + 72 = ,136
57 - 56 = ,1
1617 / 49 = ,33
26 * 31 = ,806
68 + 14 = ,82
22 - 6 = ,16
64 * 17 = ,1088
72 - 89 = ,-17
90 * 40 = ,3600
3 * 39 = ,117
14 * 14 = ,196
2744 / 56 = ,49
80 * 56 = ,4480
94 * 6 = ,564
16 * 5 = ,80
1794 / 23 = ,78
16 + 24 = ,40
5538 / 78 = ,71
3 - 77 = ,-74
86 - 97 = ,-11
63 - 95 = ,-32
16 - 63 = ,-47
1 + 87 = ,88
71 - 97 = ,-26
5 - 16 = ,-11
280 / 10 = ,28
99 * 64 = ,6336
2 - 48 = ,-46
75 + 69 = ,144
12 + 11 = ,23
55 - 71 = ,-16
885 / 59 = ,15
3567 / 41 = ,87
6534 / 66 = ,99
5952 / 93 = ,64
85 * 35 = ,2975
14 - 46 = ,-32
57 * 85 = ,4845
7 * 34 = ,238
3599 / 59 = ,61
41 * 56 = ,2296
3640 / 56 = ,65
82 * 54 = ,4428
40 / 5 = ,8
29 * 5 = ,145
22 * 30 = ,660
27 - 5 = ,22
29 - 85 = ,-56
82 * 24 = ,1968
47 * 98 = ,4606
31 + 68 = ,99
76 * 70 = ,5320
4964 / 68 = ,73
81 + 97 = ,178
4182 / 82 = ,51
20 - 45 = ,-25
4543 / 77 = ,59
12 * 6 = ,72
36 + 63 = ,99
51 - 96 = ,-45
17 - 21 = ,-4
180 / 9 = ,20
97 - 51 = ,46
8 - 73 = ,-65
1551 / 47 = ,33
71 + 64 = ,135
16 + 55 = ,71
52 * 28 = ,1456
98 - 44 = ,54
221 / 13 = ,17
25 * 27 = ,675
55 * 95 = ,5225
1044 / 12 = ,87
58 - 73 = ,-15
418 / 11 = ,38
598 / 13 = ,46
22 + 57 = ,79
78 * 70 = ,5460
61 * 38 = ,2318
256 / 16 = ,16
71 * 28 = ,1988
1849 / 43 = ,43
4352 / 64 = ,68
31 - 17 = ,14
94 * 49 = ,4606
6688 / 88 = ,76
56 + 37 = ,93
78 - 20 = ,58
98 - 55 = ,43
15 + 24 = ,39
79 - 70 = ,9
61 - 48 = ,13
38 - 9 = ,29
82 * 93 = ,7626
880 / 22 = ,40
82 * 57 = ,4674
83 - 49 = ,34
1330 / 95 = ,14
14 - 1 = ,13
36 * 71 = ,2556
85 - 33 = ,52
91 - 89 = ,2
71 + 40 = ,111
67 - 56 = ,11
9 - 93 = ,-84
3500 / 50 = ,70
27 * 49 = ,1323
4 + 20 = ,24
44 - 50 = ,-6
3325 / 35 = ,95
98 - 28 = ,70
38 - 83 = ,-45
10 - 100 = ,-90
1 + 11 = ,12
5544 / 99 = ,56
83 + 77 = ,160
6278 / 73 = ,86
45 * 74 = ,3330
38 + 71 = ,109
51 + 54 = ,105
71 + 24 = ,95
551 / 19 = ,29
1386 / 21 = ,66
372 / 6 = ,62
35 + 87 = ,122
29 + 51 = ,80
83 * 42 = ,3486
14 - 40 = ,-26
2440 / 61 = ,40
7100 / 100 = ,71
79 - 23 = ,56
4539 / 89 = ,51
88 - 33 = ,55
93 + 88 = ,181
92 - 78 = ,14
3621 / 71 = ,51
1692 / 18 = ,94
72 + 85 = ,157
97 - 92 = ,5
83 - 69 = ,14
35 - 10 = ,25
58 + 39 = ,97
19 + 85 = ,104
98 - 93 = ,5
87 - 34 = ,53
1971 / 27 = ,73
77 - 90 = ,-13
2730 / 91 = ,30
95 - 46 = ,49
74 + 30 = ,104
5 + 1 = ,6
78 + 28 = ,106
95 * 14 = ,1330
1 * 61 = ,61
77 - 30 = ,47
73 + 98 = ,171
54 * 26 = ,1404
54 * 92 = ,4968
94 - 20 = ,74
60 * 10 = ,600
77 + 96 = ,173
1140 / 95 = ,12
79 * 76 = ,6004
2530 / 46 = ,55
46 + 73 = ,119
6 * 67 = ,402
55 * 93 = ,5115
29 - 13 = ,16
2021 / 43 = ,47
9 + 54 = ,63
36 - 54 = ,-18
22 - 100 = ,-78
74 * 83 = ,6142
3344 / 38 = ,88
49 + 6 = ,55
66 + 31 = ,97
95 * 21 = ,1995
1131 / 29 = ,39
13 - 39 = ,-26
900 / 100 = ,9
1260 / 84 = ,15
55 - 18 = ,37
38 + 32 = ,70
9 * 97 = ,873
47 + 69 = ,116
59 + 100 = ,159
77 + 28 = ,105
5852 / 77 = ,76
96 * 32 = ,3072
3060 / 85 = ,36
24 - 1 = ,23
100 + 55 = ,155
77 * 47 = ,3619
2442 / 66 = ,37
3 + 2 = ,5
68 - 17 = ,51
51 * 22 = ,1122
70 - 45 = ,25
11 + 2 = ,13
2 - 40 = ,-38
48 * 16 = ,768
80 + 40 = ,120
1568 / 32 = ,49
368 / 16 = ,23
1444 / 76 = ,19
97 + 48 = ,145
88 * 63 = ,5544
77 * 56 = ,4312
37 * 2 = ,74
34 * 6 = ,204
56 * 39 = ,2184
80 + 35 = ,115
95 * 12 = ,1140
45 * 31 = ,1395
59 + 81 = ,140
34 - 92 = ,-58
2448 / 72 = ,34
16 - 35 = ,-19
36 * 66 = ,2376
95 - 12 = ,83
92 * 20 = ,1840
80 - 30 = ,50
36 + 7 = ,43
59 - 33 = ,26
15 * 82 = ,1230
200 / 25 = ,8
29 * 66 = ,1914
1400 / 20 = ,70
57 + 27 = ,84
70 * 8 = ,560
39 * 15 = ,585
2925 / 75 = ,39
41 + 72 = ,113
80 + 70 = ,150
4 * 83 = ,332
6557 / 79 = ,83
44 * 80 = ,3520
91 * 84 = ,7644
30 + 72 = ,102
100 * 12 = ,1200
34 + 94 = ,128
4000 / 100 = ,40
65 - 33 = ,32
69 * 2 = ,138
782 / 46 = ,17
91 + 99 = ,190
69 - 59 = ,10
26 * 4 = ,104
9 + 19 = ,28
92 - 51 = ,41
1216 / 38 = ,32
88 + 1 = ,89
76 - 96 = ,-20
13 * 11 = ,143
25 + 28 = ,53
56 + 60 = ,116
95 + 2 = ,97
40 + 87 = ,127
41 - 57 = ,-16
13 * 12 = ,156
42 - 57 = ,-15
61 - 34 = ,27
16 - 36 = ,-20
28 + 78 = ,106
15 * 85 = ,1275
396 / 44 = ,9
3255 / 35 = ,93
1278 / 71 = ,18
58 * 81 = ,4698
4998 / 98 = ,51
144 / 9 = ,16
59 - 30 = ,29
69 - 100 = ,-31
77 + 73 = ,150
9 + 55 = ,64
53 + 62 = ,115
35 * 90 = ,3150
15 * 18 = ,270
38 / 2 = ,19
832 / 64 = ,13
2 - 80 = ,-78
27 - 73 = ,-46
81 - 13 = ,68
9212 / 94 = ,98
66 - 5 = ,61
12 + 50 = ,62
17 + 79 = ,96
46 - 13 = ,33
59 - 40 = ,19
5 - 21 = ,-16
81 + 43 = ,124
1872 / 52 = ,36
1406 / 74 = ,19
20 * 48 = ,960
616 / 11 = ,56
99 * 95 = ,9405
25 * 32 = ,800
71 * 53 = ,3763
57 - 38 = ,19
74 * 89 = ,6586
32 + 41 = ,73
7 * 25 = ,175
98 - 15 = ,83
3577 / 49 = ,73
69 - 56 = ,13
